9985: {26, 31}
9985: {27, 32}
7077: {23, 28}
7077: {71, 76}
7080: {91, 96}
7105: {57, 62}
7105: {58, 63}
7122: {1, 6}
7164: {20, 25}
7166: {89, 94}
7179: {35, 40}
7211: {16, 21}
7246: {47, 52}
7272: {11, 16}
7276: {33, 38}
7276: {34, 39}
7332: {89, 94}
7335: {66, 71}
7356: {34, 39}
7359: {64, 69}
7363: {80, 85}
7363: {81, 86}
7363: {82, 87}
7363: {83, 88}
7383: {79, 84}
7401: {3, 8}
7401: {4, 9}
7419: {34, 39}
7435: {45, 50}
7437: {83, 88}
7437: {84, 89}
7441: {4, 9}
7441: {5, 10}
7451: {5, 10}
7451: {6, 11}
7451: {7, 12}
7459: {42, 47}
7461: {42, 47}
7492: {37, 42}
7492: {38, 43}
7492: {39, 44}
7493: {14, 19}
7497: {24, 29}
7508: {11, 16}
7511: {4, 9}
7511: {11, 16}
7545: {78, 83}
7556: {66, 71}
7556: {67, 72}
7556: {68, 73}
7572: {15, 20}
7617: {24, 29}
2302: {90, 95}
2313: {78, 83}
2313: {79, 84}
2313: {80, 85}
2329: {27, 32}
2349: {9, 14}
2374: {36, 41}
2404: {64, 69}
2404: {65, 70}
2407: {23, 28}
2415: {36, 41}
2418: {60, 65}
2462: {1, 6}
2492: {33, 38}
2500: {67, 72}
2520: {52, 57}
2549: {56, 61}
2549: {57, 62}
2579: {56, 61}
2584: {69, 74}
2587: {24, 29}
2587: {25, 30}
2587: {26, 31}
2589: {81, 86}
2594: {34, 39}
2594: {92, 97}
2627: {80, 85}
2638: {30, 35}
2639: {16, 21}
2651: {29, 34}
2651: {30, 35}
2659: {93, 98}
2674: {48, 53}
2687: {55, 60}
2703: {83, 88}
2704: {39, 44}
2706: {25, 30}
2728: {76, 81}
2737: {27, 32}
2737: {38, 43}
2737: {39, 44}
2737: {40, 45}
2743: {57, 62}
2749: {45, 50}
2772: {62, 67}
2775: {85, 90}
2798: {87, 92}
2798: {88, 93}
2802: {34, 39}
2816: {18, 23}
6: {36, 41}
16: {86, 91}
17: {72, 77}
29: {85, 90}
29: {86, 91}
38: {49, 54}
53: {4, 9}
66: {11, 16}
82: {39, 44}
82: {95, 100}
84: {81, 86}
107: {32, 37}
115: {83, 88}
115: {94, 99}
115: {95, 100}
115: {96, 101}
122: {13, 18}
128: {1, 6}
151: {18, 23}
154: {41, 46}
159: {55, 60}
177: {43, 48}
177: {44, 49}
180: {90, 95}
194: {74, 79}
196: {92, 97}
214: {3, 8}
214: {4, 9}
229: {75, 80}
265: {51, 56}
265: {52, 57}
277: {52, 57}
280: {37, 42}
294: {96, 101}
319: {65, 70}
331: {94, 99}
331: {95, 100}
337: {18, 23}
338: {91, 96}
346: {6, 11}
346: {7, 12}
354: {55, 60}
362: {47, 52}
433: {41, 46}
477: {22, 27}
483: {91, 96}
499: {53, 58}
539: {32, 37}
546: {95, 100}
564: {69, 74}
8117: {30, 35}
8129: {83, 88}
8129: {84, 89}
8141: {84, 89}
8144: {69, 74}
8158: {32, 37}
8159: {28, 33}
8196: {26, 31}
8196: {27, 32}
8201: {50, 55}
8203: {23, 28}
8210: {38, 43}
8210: {39, 44}
8218: {87, 92}
8222: {29, 34}
8226: {79, 84}
8293: {31, 36}
8297: {73, 78}
8341: {54, 59}
8342: {32, 37}
8347: {29, 34}
8348: {23, 28}
8363: {85, 90}
8403: {64, 69}
8411: {27, 32}
8429: {1, 6}
8429: {2, 7}
8435: {82, 87}
8435: {83, 88}
8435: {84, 89}
8456: {44, 49}
8456: {45, 50}
8474: {7, 12}
8527: {36, 41}
8527: {37, 42}
8555: {8, 13}
8572: {39, 44}
8596: {11, 16}
8596: {12, 17}
8596: {13, 18}
8649: {53, 58}
8659: {49, 54}
8677: {94, 99}
8687: {48, 53}
8696: {13, 18}
8703: {10, 15}
8703: {11, 16}
8703: {12, 17}
8706: {44, 49}
8761: {10, 15}
3460: {23, 28}
3460: {24, 29}
3463: {56, 61}
3518: {22, 27}
3518: {23, 28}
3524: {39, 44}
3540: {14, 19}
3553: {92, 97}
3557: {52, 57}
3559: {33, 38}
3569: {38, 43}
3602: {96, 101}
3638: {87, 92}
3658: {9, 14}
3675: {8, 13}
3675: {9, 14}
3713: {55, 60}
3719: {77, 82}
3721: {54, 59}
3758: {54, 59}
3763: {35, 40}
3765: {41, 46}
3792: {56, 61}
3794: {2, 7}
3798: {67, 72}
3810: {4, 9}
3819: {53, 58}
3819: {54, 59}
3820: {14, 19}
3832: {38, 43}
3859: {19, 24}
3873: {28, 33}
3877: {55, 60}
3882: {29, 34}
3891: {34, 39}
3892: {67, 72}
3902: {76, 81}
3904: {82, 87}
3904: {83, 88}
3912: {48, 53}
3914: {88, 93}
3929: {86, 91}
3929: {87, 92}
3942: {46, 51}
3942: {47, 52}
3947: {40, 45}
3981: {58, 63}
3987: {39, 44}
3987: {40, 45}
4036: {42, 47}
5720: {10, 15}
5720: {88, 93}
5725: {85, 90}
5726: {79, 84}
5742: {41, 46}
5782: {20, 25}
5789: {83, 88}
5807: {57, 62}
5807: {58, 63}
5814: {38, 43}
5814: {39, 44}
5814: {40, 45}
5835: {1, 6}
5852: {63, 68}
5905: {92, 97}
5905: {93, 98}
5933: {64, 69}
5944: {55, 60}
5950: {95, 100}
5974: {67, 72}
5974: {68, 73}
5974: {69, 74}
6028: {9, 14}
6038: {5, 10}
6056: {50, 55}
6066: {4, 9}
6074: {69, 74}
6081: {66, 71}
6081: {67, 72}
6081: {68, 73}
6139: {66, 71}
6139: {67, 72}
6145: {83, 88}
6161: {58, 63}
6175: {36, 41}
6178: {96, 101}
6180: {77, 82}
6190: {82, 87}
6224: {40, 45}
6224: {41, 46}
6224: {42, 47}
6260: {31, 36}
6279: {53, 58}
6296: {52, 57}
6296: {53, 58}
6341: {21, 26}
6384: {79, 84}
6386: {85, 90}
6415: {46, 51}
6420: {11, 16}
7647: {52, 57}
7647: {53, 58}
7650: {11, 16}
7658: {24, 29}
7661: {48, 53}
7704: {88, 93}
7704: {89, 94}
7735: {21, 26}
7743: {55, 60}
7763: {40, 45}
7792: {44, 49}
7792: {45, 50}
7822: {44, 49}
7827: {57, 62}
7830: {12, 17}
7830: {13, 18}
7830: {14, 19}
7832: {69, 74}
7837: {22, 27}
7837: {80, 85}
7840: {86, 91}
7870: {68, 73}
7881: {18, 23}
7882: {4, 9}
7894: {17, 22}
7894: {18, 23}
7902: {81, 86}
7917: {36, 41}
7930: {43, 48}
7946: {71, 76}
7947: {27, 32}
7949: {13, 18}
7971: {64, 69}
7980: {15, 20}
7980: {26, 31}
7980: {27, 32}
7980: {28, 33}
7986: {45, 50}
7992: {33, 38}
8015: {50, 55}
8018: {73, 78}
8023: {87, 92}
8041: {75, 80}
8041: {76, 81}
8045: {22, 27}
8059: {6, 11}
8061: {24, 29}
8078: {35, 40}
8078: {36, 41}
